dir,snr,rx_f28,rx_f60,rx_f73
0,37.06,-36.94,-36.94,-36.94
0.746,36.4188157894737,-37.5811842105263,-37.5811842105263,-37.5811842105263
1.491,35.9661842105263,-38.0338157894737,-38.0338157894737,-38.0338157894737
2.237,36.4103658536586,-37.5896341463414,-37.5896341463414,-37.5896341463414
2.983,36.274625,-37.725375,-37.725375,-37.725375
3.729,36.8084337349398,-37.1915662650602,-37.1915662650602,-37.1915662650602
4.474,36.6207228915663,-37.3792771084337,-37.3792771084337,-37.3792771084337
5.22,35.8368674698795,-38.1631325301205,-38.1631325301205,-38.1631325301205
5.966,34.7334146341464,-39.2665853658536,-39.2665853658536,-39.2665853658536
6.711,36.6775,-37.3225,-37.3225,-37.3225
7.457,35.5970238095238,-38.4029761904762,-38.4029761904762,-38.4029761904762
8.203,35.3395180722892,-38.6604819277108,-38.6604819277108,-38.6604819277108
8.949,35.7621212121212,-38.2378787878788,-38.2378787878788,-38.2378787878788
9.694,35.1118292682927,-38.8881707317073,-38.8881707317073,-38.8881707317073
10.44,34.1335365853659,-39.8664634146341,-39.8664634146341,-39.8664634146341
11.186,34.8550617283951,-39.1449382716049,-39.1449382716049,-39.1449382716049
11.931,33.9651851851852,-40.0348148148148,-40.0348148148148,-40.0348148148148
12.677,33.3279518072289,-40.6720481927711,-40.6720481927711,-40.6720481927711
13.423,32.90525,-41.09475,-41.09475,-41.09475
14.169,32.3654878048781,-41.6345121951219,-41.6345121951219,-41.6345121951219
14.914,32.426375,-41.573625,-41.573625,-41.573625
15.66,30.9845679012346,-43.0154320987654,-43.0154320987654,-43.0154320987654
16.406,30.1798684210526,-43.8201315789474,-43.8201315789474,-43.8201315789474
17.151,29.1959210526316,-44.8040789473684,-44.8040789473684,-44.8040789473684
17.897,29.0687654320988,-44.9312345679012,-44.9312345679012,-44.9312345679012
18.643,28.9159036144579,-45.0840963855421,-45.0840963855421,-45.0840963855421
19.389,28.1014473684211,-45.8985526315789,-45.8985526315789,-45.8985526315789
20.134,27.722375,-46.277625,-46.277625,-46.277625
20.88,27.7735365853659,-46.2264634146341,-46.2264634146341,-46.2264634146341
21.626,27.846265060241,-46.153734939759,-46.153734939759,-46.153734939759
22.371,27.5136144578313,-46.4863855421687,-46.4863855421687,-46.4863855421687
23.117,27.4532,-46.5468,-46.5468,-46.5468
23.863,28.3114634146341,-45.6885365853659,-45.6885365853659,-45.6885365853659
24.609,27.93375,-46.06625,-46.06625,-46.06625
25.354,27.5331325301205,-46.4668674698795,-46.4668674698795,-46.4668674698795
26.1,28.065125,-45.934875,-45.934875,-45.934875
26.846,27.42,-46.58,-46.58,-46.58
27.591,29.8233734939759,-44.1766265060241,-44.1766265060241,-44.1766265060241
28.337,27.9284337349398,-46.0715662650602,-46.0715662650602,-46.0715662650602
29.083,28.1745,-45.8255,-45.8255,-45.8255
29.829,29.3563953488372,-44.6436046511628,-44.6436046511628,-44.6436046511628
30.574,29.1576543209877,-44.8423456790123,-44.8423456790123,-44.8423456790123
31.32,28.3503797468355,-45.6496202531645,-45.6496202531645,-45.6496202531645
32.066,27.9405405405406,-46.0594594594594,-46.0594594594594,-46.0594594594594
32.811,28.5343902439025,-45.4656097560975,-45.4656097560975,-45.4656097560975
33.557,28.1818072289157,-45.8181927710843,-45.8181927710843,-45.8181927710843
34.303,27.9321951219512,-46.0678048780488,-46.0678048780488,-46.0678048780488
35.049,27.3341975308642,-46.6658024691358,-46.6658024691358,-46.6658024691358
35.794,26.6418823529412,-47.3581176470588,-47.3581176470588,-47.3581176470588
36.54,26.7469512195122,-47.2530487804878,-47.2530487804878,-47.2530487804878
37.286,26.3239759036145,-47.6760240963855,-47.6760240963855,-47.6760240963855
38.031,26.7604761904762,-47.2395238095238,-47.2395238095238,-47.2395238095238
38.777,25.7805882352941,-48.2194117647059,-48.2194117647059,-48.2194117647059
