Flow;Hour;Count
Green;1 a.m.;419
Blue;1 a.m.;670
Total;1 a.m.;1089
Green;2 a.m.;272
Blue;2 a.m.;463
Total;2 a.m.;735
Green;3 a.m.;254
Blue;3 a.m.;412
Total;3 a.m.;666
Green;4 a.m.;381
Blue;4 a.m.;536
Total;4 a.m.;917
Green;5 a.m.;827
Blue;5 a.m.;846
Total;5 a.m.;1673
Green;6 a.m.;2515
Blue;6 a.m.;1934
Total;6 a.m.;4449
Green;7 a.m.;5571
Blue;7 a.m.;3669
Total;7 a.m.;9240
Green;8 a.m.;6812
Blue;8 a.m.;4465
Total;8 a.m.;11277
Green;9 a.m.;6427
Blue;9 a.m.;4652
Total;9 a.m.;11079
Green;10 a.m.;5560
Blue;10 a.m.;4434
Total;10 a.m.;9994
Green;11 a.m.;4593
Blue;11 a.m.;4018
Total;11 a.m.;8611
Green;12 p.m.;3848
Blue;12 p.m.;4029
Total;12 p.m.;7877
Green;1 p.m.;3838
Blue;1 p.m.;4045
Total;1 p.m.;7883
Green;2 p.m.;3832
Blue;2 p.m.;4120
Total;2 p.m.;7952
Green;3 p.m.;3848
Blue;3 p.m.;4414
Total;3 p.m.;8262
Green;4 p.m.;4060
Blue;4 p.m.;5075
Total;4 p.m.;9135
Green;5 p.m.;4429
Blue;5 p.m.;5200
Total;5 p.m.;9629
Green;6 p.m.;4435
Blue;6 p.m.;5899
Total;6 p.m.;10334
Green;7 p.m.;4079
Blue;7 p.m.;5213
Total;7 p.m.;9292
Green;8 p.m.;2786
Blue;8 p.m.;3692
Total;8 p.m.;6478
Green;9 p.m.;1900
Blue;9 p.m.;2674
Total;9 p.m.;4574
Green;10 p.m.;1523
Blue;10 p.m.;1856
Total;10 p.m.;3379
Green;11 p.m.;1216
Blue;11 p.m.;1500
Total;11 p.m.;2716
Green;12 a.m.;868
Blue;12 a.m.;1114
Total;12 a.m.;1982
