VehicleType;Hour;Count
Passenger car;1 a.m.;473
Light commercial vehicle;1 a.m.;55
Motorcycle;1 a.m.;2
Passenger car with trailer;1 a.m.;9
Bus;1 a.m.;7
Truck without trailer;1 a.m.;21
Semi-trailer truck;1 a.m.;66
Truck with trailer;1 a.m.;25
Unclassified vehicle;1 a.m.;12
Passenger car;2 a.m.;216
Light commercial vehicle;2 a.m.;38
Motorcycle;2 a.m.;2
Passenger car with trailer;2 a.m.;6
Bus;2 a.m.;5
Truck without trailer;2 a.m.;24
Semi-trailer truck;2 a.m.;129
Truck with trailer;2 a.m.;42
Unclassified vehicle;2 a.m.;1
Passenger car;3 a.m.;172
Light commercial vehicle;3 a.m.;33
Passenger car with trailer;3 a.m.;3
Bus;3 a.m.;4
Truck without trailer;3 a.m.;33
Semi-trailer truck;3 a.m.;129
Truck with trailer;3 a.m.;35
Unclassified vehicle;3 a.m.;3
Passenger car;4 a.m.;178
Light commercial vehicle;4 a.m.;43
Passenger car with trailer;4 a.m.;5
Bus;4 a.m.;1
Truck without trailer;4 a.m.;41
Semi-trailer truck;4 a.m.;208
Truck with trailer;4 a.m.;55
Unclassified vehicle;4 a.m.;5
Passenger car;5 a.m.;351
Light commercial vehicle;5 a.m.;88
Motorcycle;5 a.m.;4
Passenger car with trailer;5 a.m.;5
Bus;5 a.m.;6
Truck without trailer;5 a.m.;46
Semi-trailer truck;5 a.m.;266
Truck with trailer;5 a.m.;68
Unclassified vehicle;5 a.m.;12
Passenger car;6 a.m.;1166
Light commercial vehicle;6 a.m.;223
Motorcycle;6 a.m.;8
Passenger car with trailer;6 a.m.;13
Bus;6 a.m.;5
Truck without trailer;6 a.m.;86
Semi-trailer truck;6 a.m.;322
Truck with trailer;6 a.m.;83
Unclassified vehicle;6 a.m.;28
Passenger car;7 a.m.;2442
Light commercial vehicle;7 a.m.;518
Motorcycle;7 a.m.;16
Passenger car with trailer;7 a.m.;17
Bus;7 a.m.;6
Truck without trailer;7 a.m.;142
Semi-trailer truck;7 a.m.;377
Truck with trailer;7 a.m.;96
Unclassified vehicle;7 a.m.;55
Passenger car;8 a.m.;3451
Light commercial vehicle;8 a.m.;431
Motorcycle;8 a.m.;25
Passenger car with trailer;8 a.m.;26
Bus;8 a.m.;12
Truck without trailer;8 a.m.;143
Semi-trailer truck;8 a.m.;204
Truck with trailer;8 a.m.;72
Unclassified vehicle;8 a.m.;101
Passenger car;9 a.m.;3570
Light commercial vehicle;9 a.m.;422
Motorcycle;9 a.m.;26
Passenger car with trailer;9 a.m.;21
Bus;9 a.m.;21
Truck without trailer;9 a.m.;207
Semi-trailer truck;9 a.m.;229
Truck with trailer;9 a.m.;71
Unclassified vehicle;9 a.m.;85
Passenger car;10 a.m.;3290
Light commercial vehicle;10 a.m.;452
Motorcycle;10 a.m.;20
Passenger car with trailer;10 a.m.;32
Bus;10 a.m.;18
Truck without trailer;10 a.m.;171
Semi-trailer truck;10 a.m.;304
Truck with trailer;10 a.m.;87
Unclassified vehicle;10 a.m.;60
Passenger car;11 a.m.;2824
Light commercial vehicle;11 a.m.;451
Motorcycle;11 a.m.;27
Passenger car with trailer;11 a.m.;37
Bus;11 a.m.;12
Truck without trailer;11 a.m.;169
Semi-trailer truck;11 a.m.;340
Truck with trailer;11 a.m.;96
Unclassified vehicle;11 a.m.;62
Passenger car;12 p.m.;2889
Light commercial vehicle;12 p.m.;411
Motorcycle;12 p.m.;26
Passenger car with trailer;12 p.m.;29
Bus;12 p.m.;16
Truck without trailer;12 p.m.;167
Semi-trailer truck;12 p.m.;321
Truck with trailer;12 p.m.;106
Unclassified vehicle;12 p.m.;64
Passenger car;1 p.m.;2916
Light commercial vehicle;1 p.m.;398
Motorcycle;1 p.m.;31
Passenger car with trailer;1 p.m.;38
Bus;1 p.m.;19
Truck without trailer;1 p.m.;180
Semi-trailer truck;1 p.m.;310
Truck with trailer;1 p.m.;93
Unclassified vehicle;1 p.m.;60
Passenger car;2 p.m.;3038
Light commercial vehicle;2 p.m.;363
Motorcycle;2 p.m.;19
Passenger car with trailer;2 p.m.;37
Bus;2 p.m.;17
Truck without trailer;2 p.m.;172
Semi-trailer truck;2 p.m.;330
Truck with trailer;2 p.m.;87
Unclassified vehicle;2 p.m.;57
Passenger car;3 p.m.;3395
Light commercial vehicle;3 p.m.;361
Motorcycle;3 p.m.;27
Passenger car with trailer;3 p.m.;34
Bus;3 p.m.;14
Truck without trailer;3 p.m.;149
Semi-trailer truck;3 p.m.;303
Truck with trailer;3 p.m.;70
Unclassified vehicle;3 p.m.;61
Passenger car;4 p.m.;4022
Light commercial vehicle;4 p.m.;396
Motorcycle;4 p.m.;36
Passenger car with trailer;4 p.m.;26
Bus;4 p.m.;14
Truck without trailer;4 p.m.;138
Semi-trailer truck;4 p.m.;297
Truck with trailer;4 p.m.;82
Unclassified vehicle;4 p.m.;64
Passenger car;5 p.m.;4238
Light commercial vehicle;5 p.m.;374
Motorcycle;5 p.m.;26
Passenger car with trailer;5 p.m.;26
Bus;5 p.m.;22
Truck without trailer;5 p.m.;127
Semi-trailer truck;5 p.m.;230
Truck with trailer;5 p.m.;75
Unclassified vehicle;5 p.m.;82
Passenger car;6 p.m.;4972
Light commercial vehicle;6 p.m.;352
Motorcycle;6 p.m.;29
Passenger car with trailer;6 p.m.;32
Bus;6 p.m.;14
Truck without trailer;6 p.m.;102
Semi-trailer truck;6 p.m.;257
Truck with trailer;6 p.m.;66
Unclassified vehicle;6 p.m.;75
Passenger car;7 p.m.;4508
Light commercial vehicle;7 p.m.;276
Motorcycle;7 p.m.;34
Passenger car with trailer;7 p.m.;19
Bus;7 p.m.;7
Truck without trailer;7 p.m.;73
Semi-trailer truck;7 p.m.;190
Truck with trailer;7 p.m.;55
Unclassified vehicle;7 p.m.;51
Passenger car;8 p.m.;3124
Light commercial vehicle;8 p.m.;211
Motorcycle;8 p.m.;27
Passenger car with trailer;8 p.m.;12
Bus;8 p.m.;12
Truck without trailer;8 p.m.;60
Semi-trailer truck;8 p.m.;149
Truck with trailer;8 p.m.;54
Unclassified vehicle;8 p.m.;43
Passenger car;9 p.m.;2181
Light commercial vehicle;9 p.m.;174
Motorcycle;9 p.m.;20
Passenger car with trailer;9 p.m.;15
Bus;9 p.m.;10
Truck without trailer;9 p.m.;52
Semi-trailer truck;9 p.m.;136
Truck with trailer;9 p.m.;51
Unclassified vehicle;9 p.m.;35
Passenger car;10 p.m.;1485
Light commercial vehicle;10 p.m.;115
Motorcycle;10 p.m.;10
Passenger car with trailer;10 p.m.;6
Bus;10 p.m.;8
Truck without trailer;10 p.m.;48
Semi-trailer truck;10 p.m.;113
Truck with trailer;10 p.m.;49
Unclassified vehicle;10 p.m.;22
Passenger car;11 p.m.;1194
Light commercial vehicle;11 p.m.;89
Motorcycle;11 p.m.;13
Passenger car with trailer;11 p.m.;7
Bus;11 p.m.;5
Truck without trailer;11 p.m.;27
Semi-trailer truck;11 p.m.;96
Truck with trailer;11 p.m.;52
Unclassified vehicle;11 p.m.;17
Passenger car;12 a.m.;804
Light commercial vehicle;12 a.m.;97
Motorcycle;12 a.m.;10
Passenger car with trailer;12 a.m.;4
Bus;12 a.m.;3
Truck without trailer;12 a.m.;38
Semi-trailer truck;12 a.m.;87
Truck with trailer;12 a.m.;58
Unclassified vehicle;12 a.m.;13
