Flow;Hour;VehicleType;Count
Blue;1 a.m.;Passenger Car;39
Green;1 a.m.;Passenger Car;27
Red;1 a.m.;Passenger Car;154
Total;1 a.m.;Passenger Car;220
Blue;2 a.m.;Passenger Car;20
Green;2 a.m.;Passenger Car;7
Red;2 a.m.;Passenger Car;55
Total;2 a.m.;Passenger Car;82
Blue;3 a.m.;Passenger Car;14
Green;3 a.m.;Passenger Car;5
Red;3 a.m.;Passenger Car;39
Total;3 a.m.;Passenger Car;58
Blue;4 a.m.;Passenger Car;10
Green;4 a.m.;Passenger Car;7
Red;4 a.m.;Passenger Car;116
Total;4 a.m.;Passenger Car;133
Blue;5 a.m.;Passenger Car;18
Green;5 a.m.;Passenger Car;15
Red;5 a.m.;Passenger Car;630
Total;5 a.m.;Passenger Car;663
Blue;6 a.m.;Passenger Car;109
Green;6 a.m.;Passenger Car;63
Red;6 a.m.;Passenger Car;481
Total;6 a.m.;Passenger Car;653
Blue;7 a.m.;Passenger Car;281
Green;7 a.m.;Passenger Car;140
Red;7 a.m.;Passenger Car;981
Total;7 a.m.;Passenger Car;1402
Blue;8 a.m.;Passenger Car;512
Green;8 a.m.;Passenger Car;269
Red;8 a.m.;Passenger Car;1172
Total;8 a.m.;Passenger Car;1953
Blue;9 a.m.;Passenger Car;556
Green;9 a.m.;Passenger Car;259
Red;9 a.m.;Passenger Car;1194
Total;9 a.m.;Passenger Car;2009
Blue;10 a.m.;Passenger Car;509
Green;10 a.m.;Passenger Car;236
Red;10 a.m.;Passenger Car;1060
Total;10 a.m.;Passenger Car;1805
Blue;11 a.m.;Passenger Car;481
Green;11 a.m.;Passenger Car;276
Red;11 a.m.;Passenger Car;1042
Total;11 a.m.;Passenger Car;1799
Blue;12 p.m.;Passenger Car;501
Green;12 p.m.;Passenger Car;282
Red;12 p.m.;Passenger Car;1010
Total;12 p.m.;Passenger Car;1793
Blue;1 p.m.;Passenger Car;472
Green;1 p.m.;Passenger Car;281
Red;1 p.m.;Passenger Car;1046
Total;1 p.m.;Passenger Car;1799
Blue;2 p.m.;Passenger Car;484
Green;2 p.m.;Passenger Car;297
Red;2 p.m.;Passenger Car;1145
Total;2 p.m.;Passenger Car;1926
Blue;3 p.m.;Passenger Car;493
Green;3 p.m.;Passenger Car;287
Red;3 p.m.;Passenger Car;1082
Total;3 p.m.;Passenger Car;1862
Blue;4 p.m.;Passenger Car;540
Green;4 p.m.;Passenger Car;299
Red;4 p.m.;Passenger Car;1089
Total;4 p.m.;Passenger Car;1928
Blue;5 p.m.;Passenger Car;513
Green;5 p.m.;Passenger Car;325
Red;5 p.m.;Passenger Car;987
Total;5 p.m.;Passenger Car;1825
Blue;6 p.m.;Passenger Car;396
Green;6 p.m.;Passenger Car;307
Red;6 p.m.;Passenger Car;876
Total;6 p.m.;Passenger Car;1579
Blue;7 p.m.;Passenger Car;365
Green;7 p.m.;Passenger Car;287
Red;7 p.m.;Passenger Car;792
Total;7 p.m.;Passenger Car;1444
Blue;8 p.m.;Passenger Car;260
Green;8 p.m.;Passenger Car;238
Red;8 p.m.;Passenger Car;606
Total;8 p.m.;Passenger Car;1104
Blue;9 p.m.;Passenger Car;229
Green;9 p.m.;Passenger Car;184
Red;9 p.m.;Passenger Car;498
Total;9 p.m.;Passenger Car;911
Blue;10 p.m.;Passenger Car;169
Green;10 p.m.;Passenger Car;135
Red;10 p.m.;Passenger Car;338
Total;10 p.m.;Passenger Car;642
Blue;11 p.m.;Passenger Car;108
Green;11 p.m.;Passenger Car;74
Red;11 p.m.;Passenger Car;291
Total;11 p.m.;Passenger Car;473
Blue;12 a.m.;Passenger Car;74
Green;12 a.m.;Passenger Car;42
Red;12 a.m.;Passenger Car;162
Total;12 a.m.;Passenger Car;278
